codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,0,220.04506495290917,109.97017623953637,220.0000009415277,220.00000094930158,109.99632793538059,109.97017623953637,1200.4123845917304,0.0,1,-1200.8240355080327,6.117442643461098e-08,-1200.8240355080327,6.117442643461098e-08,-1200.4694446382223,7.470287440445793e-06
encodec,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,1,220.03454534804374,220.02760455665452,220.00000095285736,220.00000093404702,109.99948762319676,109.99317791886183,1200.279888546475,1200.3245860055836,0,-0.054611078839999334,-1.4802309900371682e-07,-0.054611078839999334,-1.4802309900371682e-07,0.21721341096571356,7.350245439582157e-06
encodec,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,2,220.04429661525353,220.0148288045664,220.00000093426038,220.0000009512554,220.04429661525353,109.99665336549704,0.0,1200.169359353137,0,-0.2318582860453858,1.3373780290964094e-07,-0.2318582860453858,1.3373780290964094e-07,0.11668757369732237,7.485662349952971e-06
encodec,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,3,220.0273895112677,220.02235702069203,220.000000948024,220.00000093736406,110.00338154760853,109.98978315860808,1200.1623017376799,1200.3367290875115,0,-0.03959742781481042,-8.388563118476058e-08,-0.03959742781481042,-8.388563118476058e-08,0.17592394965140296,7.376348111857763e-06
encodec,3.0kbps,24000,20260826,0.0,221.27,221.27,221.3Hz_+10.0c,0,221.28524536942282,221.29187264187536,221.27000214986447,221.2700021902917,110.64587053262954,221.29187264187536,1199.9491814073049,0.0,0,0.051847957140903796,3.16305820409549e-07,0.051847957140903796,3.16305820409549e-07,0.17112482899806902,1.7137016127395886e-05
encodec,3.0kbps,24000,20260826,0.0,221.27,221.27,221.3Hz_+10.0c,1,221.2734716046598,221.26796134908312,221.27000216145268,221.27000222378476,110.63352459233289,110.63595591709824,1200.0502494648488,1199.9690910819422,0,-0.043112537554789596,4.87690932242693e-07,-0.043112537554789596,4.87690932242693e-07,-0.015950640124653286,1.7399068457677783e-05
encodec,3.0kbps,24000,20260826,0.0,221.27,221.27,221.3Hz_+10.0c,2,221.3108780538506,221.2819851341769,221.27000213819733,221.27000220058656,110.6486999655578,221.2819851341769,1200.1054376348757,0.0,0,-0.2260334973629041,4.881383868566198e-07,-0.2260334973629041,4.881383868566198e-07,0.09377010191670311,1.7217563723293917e-05
encodec,3.0kbps,24000,20260826,0.0,221.27,221.27,221.3Hz_+10.0c,3,221.38357201579777,221.24288965516337,221.27000213880748,221.27000211718763,221.38357201579777,110.62048040969754,0.0,1200.0150932792399,0,-1.1004949867440932,-1.6915552703454898e-07,-1.1004949867440932,-1.6915552703454898e-07,-0.21212648589027883,1.6565043818158806e-05
encodec,3.0kbps,24000,20260826,0.0,222.55,222.55,222.6Hz_+20.0c,0,222.4970797615252,222.48526642539156,222.55000195401402,222.5500019576807,111.2609189855491,111.25971214010777,1199.8073688387485,1199.734226435516,0,-0.09192117362726293,2.8523309589733054e-08,-0.09192117362726293,2.8523309589733054e-08,-0.5036408470299487,1.5228952809911525e-05
encodec,3.0kbps,24000,20260826,0.0,222.55,222.55,222.6Hz_+20.0c,1,222.46768088805712,222.50507653440155,222.5500019834651,222.55000196788004,111.25281575953122,222.50507653440155,1199.7046949877338,0.0,0,0.29098687643621546,-1.2123752015292523e-07,0.29098687643621546,-1.2123752015292523e-07,-0.3494984670925662,1.530829412362472e-05
encodec,3.0kbps,24000,20260826,0.0,222.55,222.55,222.6Hz_+20.0c,2,222.5251259166007,222.51329474795676,222.55000193958975,222.55000196026674,222.5251259166007,111.26983601841624,0.0,1199.794787299107,0,-0.09204833133675977,1.608480169979396e-07,-0.09204833133675977,1.608480169979396e-07,-0.2855566073895213,1.5249069815630161e-05
encodec,3.0kbps,24000,20260826,0.0,222.55,222.55,222.6Hz_+20.0c,3,222.49247487753516,222.4830420370229,222.55000197958648,222.55000199617496,222.49247487753516,111.27335505183085,0.0,1199.5046428917385,0,-0.07339934021512332,1.2904298916306624e-07,-0.07339934021512332,1.2904298916306624e-07,-0.5209496612036919,1.552840258183804e-05
encodec,3.0kbps,24000,20260826,0.0,223.83,223.83,223.8Hz_+29.9c,0,223.6466556855791,223.68813616941742,223.83000198635102,223.83000193695833,74.59274237442158,74.57631146126016,1900.9368144921052,1901.6392719283804,0,0.3210679227551327,-3.82032444115269e-07,0.3210679227551327,-3.82032444115269e-07,-1.0976069223233234,1.4981584986267617e-05
encodec,3.0kbps,24000,20260826,0.0,223.83,223.83,223.8Hz_+29.9c,1,223.67101718513922,223.77042837862948,223.83000199902955,223.83000197185305,74.57052442519819,223.77042837862948,1901.6411214861591,0.0,0,0.7692807520041728,-2.1019910877652406e-07,0.7692807520041728,-2.1019910877652406e-07,-0.46082359776681536,1.5251481611355109e-05
encodec,3.0kbps,24000,20260826,0.0,223.83,223.83,223.8Hz_+29.9c,2,223.7114814213595,223.75227227102138,223.83000197602368,223.83000197765173,74.62339930314172,111.8921973160574,1900.7271784924255,1199.751478126958,0,0.31563900958633134,1.2592157038210037e-08,0.31563900958633134,1.2592157038210037e-08,-0.6012967923613437,1.5296332016616966e-05
encodec,3.0kbps,24000,20260826,0.0,223.83,223.83,223.8Hz_+29.9c,3,223.61370737755217,223.7714445152806,223.83000197236265,223.83000196883538,111.87084523505747,74.60204665371714,1199.009428768892,1901.6865962828401,0,1.22078219984689,-2.728204588848479e-08,1.22078219984689,-2.728204588848479e-08,-0.45296211943162706,1.5228140933505536e-05
encodec,3.0kbps,24000,20260826,0.0,225.13,225.13,225.1Hz_+39.9c,0,224.69287455866032,225.0793694689985,225.12999861699532,225.129998578833,75.01650965073661,75.0778377863762,1899.2091963582898,1900.7697842231466,0,2.975342841397732,-2.9346545355964707e-07,2.975342841397732,-2.9346545355964707e-07,-0.38938905098780197,-1.0928675350996268e-05
